price,rating,stars,breakfast,month,day_of_week,is_weekend,stay_length,event_count,log_review_count,log_distance,price_vs_city_mean,week_of_year,is_holiday,city_encoded
1998,9.4,4.0,1,4,1,0,1,2,9.780076207620894,1.8870696490323797,0.236997481085417,17,0,9603.977611940298
5650,8.7,4.0,0,4,1,0,1,2,8.65591111072806,0.6931471805599453,0.6701880721384414,17,0,9603.977611940298
4071,8.6,5.0,1,4,1,0,1,2,9.546598299920646,0.5877866649021191,0.4828912640133797,17,0,9603.977611940298
3950,8.7,3.0,0,4,1,0,1,2,8.507950610049305,0.6931471805599453,0.468538563707406,17,0,9603.977611940298
2197,8.3,3.0,0,4,1,0,1,2,8.702842538302868,0.4700036292457356,0.2606023353076382,17,0,9603.977611940298
2389,7.6,3.0,1,4,1,0,1,2,8.834482608620677,0.9555114450274363,0.28337686802455514,17,0,9603.977611940298
1994,8.1,4.0,1,4,1,0,1,2,7.1631723908466425,0.4700036292457356,0.23652301165381456,17,0,9603.977611940298
1845,7.8,4.0,0,4,1,0,1,2,9.18686701579054,1.308332819650179,0.2188490253266238,17,0,9603.977611940298
3052,8.9,5.0,0,4,1,0,1,2,9.373733918884618,0.7419373447293773,0.362020176312659,17,0,9603.977611940298
3151,9.7,5.0,0,4,1,0,1,2,7.7437032581737535,0.7884573603642702,0.3737632947448193,17,0,9603.977611940298
3458,8.1,3.0,0,4,1,0,1,2,8.520786726926367,0.5306282510621704,0.4101788236203063,17,0,9603.977611940298
2191,8.6,4.0,1,4,1,0,1,2,9.29302573859479,0.4700036292457356,0.25989063116023453,17,0,9603.977611940298
2145,8.4,3.0,1,4,1,0,1,2,9.253112463820052,2.0918640616783932,0.25443423269680654,17,0,9603.977611940298
4704,9.2,4.0,0,4,1,0,1,2,8.038834757787749,0.4700036292457356,0.5579760515644653,17,0,9603.977611940298
2399,9.0,3.0,0,4,1,0,1,2,8.283241441385425,0.832909122935104,0.2845630416035612,17,0,9603.977611940298
3235,8.7,4.0,0,4,1,0,1,2,8.507748732588238,0.4700036292457356,0.3837271528084705,17,0,9603.977611940298
12040,9.3,4.0,0,4,1,0,1,2,6.594413459749778,0.37156355643248307,1.4281529891233335,17,0,9603.977611940298
2008,8.4,4.0,1,4,1,0,1,2,7.81035268372429,0.9555114450274363,0.2381836546644231,17,0,9603.977611940298
3647,8.3,5.0,1,4,1,0,1,2,7.5822291942764615,0.37156355643248307,0.4325975042635214,17,0,9603.977611940298
3292,9.0,4.0,0,4,1,0,1,2,6.86484777797086,0.8754687373538999,0.3904883422088052,17,0,9603.977611940298
2096,8.5,3.0,1,4,1,0,1,2,8.962263554116761,0.8754687373538999,0.24862198215967668,17,0,9603.977611940298
2363,8.7,4.0,1,4,1,0,1,2,7.157735484249907,1.3862943611198906,0.2802928167191393,17,0,9603.977611940298
3369,9.1,4.0,0,4,1,0,1,2,8.522180732927277,0.832909122935104,0.39962187876715205,17,0,9603.977611940298
1998,9.4,4.0,1,4,1,0,1,2,9.780076207620894,1.8870696490323797,0.236997481085417,17,0,9603.977611940298
5650,8.7,4.0,0,4,1,0,1,2,8.65591111072806,0.6931471805599453,0.6701880721384414,17,0,9603.977611940298
4071,8.6,5.0,1,4,1,0,1,2,9.546598299920646,0.5877866649021191,0.4828912640133797,17,0,9603.977611940298
3950,8.7,3.0,0,4,1,0,1,2,8.507950610049305,0.6931471805599453,0.468538563707406,17,0,9603.977611940298
2197,8.3,3.0,0,4,1,0,1,2,8.702842538302868,0.4700036292457356,0.2606023353076382,17,0,9603.977611940298
2389,7.6,3.0,1,4,1,0,1,2,8.834482608620677,0.9555114450274363,0.28337686802455514,17,0,9603.977611940298
1994,8.1,4.0,1,4,1,0,1,2,7.1631723908466425,0.4700036292457356,0.23652301165381456,17,0,9603.977611940298
1845,7.8,4.0,0,4,1,0,1,2,9.18686701579054,1.308332819650179,0.2188490253266238,17,0,9603.977611940298
3052,8.9,5.0,0,4,1,0,1,2,9.373733918884618,0.7419373447293773,0.362020176312659,17,0,9603.977611940298
3151,9.7,5.0,0,4,1,0,1,2,7.7437032581737535,0.7884573603642702,0.3737632947448193,17,0,9603.977611940298
3458,8.1,3.0,0,4,1,0,1,2,8.520786726926367,0.5306282510621704,0.4101788236203063,17,0,9603.977611940298
2191,8.6,4.0,1,4,1,0,1,2,9.29302573859479,0.4700036292457356,0.25989063116023453,17,0,9603.977611940298
2145,8.4,3.0,1,4,1,0,1,2,9.253112463820052,2.0918640616783932,0.25443423269680654,17,0,9603.977611940298
4704,9.2,4.0,0,4,1,0,1,2,8.038834757787749,0.4700036292457356,0.5579760515644653,17,0,9603.977611940298
2399,9.0,3.0,0,4,1,0,1,2,8.283241441385425,0.832909122935104,0.2845630416035612,17,0,9603.977611940298
3235,8.7,4.0,0,4,1,0,1,2,8.507748732588238,0.4700036292457356,0.3837271528084705,17,0,9603.977611940298
12040,9.3,4.0,0,4,1,0,1,2,6.594413459749778,0.37156355643248307,1.4281529891233335,17,0,9603.977611940298
2008,8.4,4.0,1,4,1,0,1,2,7.81035268372429,0.9555114450274363,0.2381836546644231,17,0,9603.977611940298
3647,8.3,5.0,1,4,1,0,1,2,7.5822291942764615,0.37156355643248307,0.4325975042635214,17,0,9603.977611940298
3292,9.0,4.0,0,4,1,0,1,2,6.86484777797086,0.8754687373538999,0.3904883422088052,17,0,9603.977611940298
2096,8.5,3.0,1,4,1,0,1,2,8.962263554116761,0.8754687373538999,0.24862198215967668,17,0,9603.977611940298
2363,8.7,4.0,1,4,1,0,1,2,7.157735484249907,1.3862943611198906,0.2802928167191393,17,0,9603.977611940298
3369,9.1,4.0,0,4,1,0,1,2,8.522180732927277,0.832909122935104,0.39962187876715205,17,0,9603.977611940298
1998,9.4,4.0,1,4,1,0,1,2,9.780076207620894,1.8870696490323797,0.236997481085417,17,0,9603.977611940298
5650,8.7,4.0,0,4,1,0,1,2,8.65591111072806,0.6931471805599453,0.6701880721384414,17,0,9603.977611940298
4071,8.6,5.0,1,4,1,0,1,2,9.546598299920646,0.5877866649021191,0.4828912640133797,17,0,9603.977611940298
3950,8.7,3.0,0,4,1,0,1,2,8.507950610049305,0.6931471805599453,0.468538563707406,17,0,9603.977611940298
2197,8.3,3.0,0,4,1,0,1,2,8.702842538302868,0.4700036292457356,0.2606023353076382,17,0,9603.977611940298
2389,7.6,3.0,1,4,1,0,1,2,8.834482608620677,0.9555114450274363,0.28337686802455514,17,0,9603.977611940298
1994,8.1,4.0,1,4,1,0,1,2,7.1631723908466425,0.4700036292457356,0.23652301165381456,17,0,9603.977611940298
1845,7.8,4.0,0,4,1,0,1,2,9.18686701579054,1.308332819650179,0.2188490253266238,17,0,9603.977611940298
3052,8.9,5.0,0,4,1,0,1,2,9.373733918884618,0.7419373447293773,0.362020176312659,17,0,9603.977611940298
3151,9.7,5.0,0,4,1,0,1,2,7.7437032581737535,0.7884573603642702,0.3737632947448193,17,0,9603.977611940298
3458,8.1,3.0,0,4,1,0,1,2,8.520786726926367,0.5306282510621704,0.4101788236203063,17,0,9603.977611940298
2191,8.6,4.0,1,4,1,0,1,2,9.29302573859479,0.4700036292457356,0.25989063116023453,17,0,9603.977611940298
2145,8.4,3.0,1,4,1,0,1,2,9.253112463820052,2.0918640616783932,0.25443423269680654,17,0,9603.977611940298
4704,9.2,4.0,0,4,1,0,1,2,8.038834757787749,0.4700036292457356,0.5579760515644653,17,0,9603.977611940298
2399,9.0,3.0,0,4,1,0,1,2,8.283241441385425,0.832909122935104,0.2845630416035612,17,0,9603.977611940298
3235,8.7,4.0,0,4,1,0,1,2,8.507748732588238,0.4700036292457356,0.3837271528084705,17,0,9603.977611940298
12040,9.3,4.0,0,4,1,0,1,2,6.594413459749778,0.37156355643248307,1.4281529891233335,17,0,9603.977611940298
2008,8.4,4.0,1,4,1,0,1,2,7.81035268372429,0.9555114450274363,0.2381836546644231,17,0,9603.977611940298
3647,8.3,5.0,1,4,1,0,1,2,7.5822291942764615,0.37156355643248307,0.4325975042635214,17,0,9603.977611940298
3292,9.0,4.0,0,4,1,0,1,2,6.86484777797086,0.8754687373538999,0.3904883422088052,17,0,9603.977611940298
2096,8.5,3.0,1,4,1,0,1,2,8.962263554116761,0.8754687373538999,0.24862198215967668,17,0,9603.977611940298
2363,8.7,4.0,1,4,1,0,1,2,7.157735484249907,1.3862943611198906,0.2802928167191393,17,0,9603.977611940298
3369,9.1,4.0,0,4,1,0,1,2,8.522180732927277,0.832909122935104,0.39962187876715205,17,0,9603.977611940298
1998,9.4,4.0,1,4,1,0,1,2,9.780076207620894,1.8870696490323797,0.236997481085417,17,0,9603.977611940298
5650,8.7,4.0,0,4,1,0,1,2,8.65591111072806,0.6931471805599453,0.6701880721384414,17,0,9603.977611940298
4071,8.6,5.0,1,4,1,0,1,2,9.546598299920646,0.5877866649021191,0.4828912640133797,17,0,9603.977611940298
3950,8.7,3.0,0,4,1,0,1,2,8.507950610049305,0.6931471805599453,0.468538563707406,17,0,9603.977611940298
2197,8.3,3.0,0,4,1,0,1,2,8.702842538302868,0.4700036292457356,0.2606023353076382,17,0,9603.977611940298
2389,7.6,3.0,1,4,1,0,1,2,8.834482608620677,0.9555114450274363,0.28337686802455514,17,0,9603.977611940298
1994,8.1,4.0,1,4,1,0,1,2,7.1631723908466425,0.4700036292457356,0.23652301165381456,17,0,9603.977611940298
1845,7.8,4.0,0,4,1,0,1,2,9.18686701579054,1.308332819650179,0.2188490253266238,17,0,9603.977611940298
3052,8.9,5.0,0,4,1,0,1,2,9.373733918884618,0.7419373447293773,0.362020176312659,17,0,9603.977611940298
3151,9.7,5.0,0,4,1,0,1,2,7.7437032581737535,0.7884573603642702,0.3737632947448193,17,0,9603.977611940298
3458,8.1,3.0,0,4,1,0,1,2,8.520786726926367,0.5306282510621704,0.4101788236203063,17,0,9603.977611940298
2191,8.6,4.0,1,4,1,0,1,2,9.29302573859479,0.4700036292457356,0.25989063116023453,17,0,9603.977611940298
2145,8.4,3.0,1,4,1,0,1,2,9.253112463820052,2.0918640616783932,0.25443423269680654,17,0,9603.977611940298
4704,9.2,4.0,0,4,1,0,1,2,8.038834757787749,0.4700036292457356,0.5579760515644653,17,0,9603.977611940298
2399,9.0,3.0,0,4,1,0,1,2,8.283241441385425,0.832909122935104,0.2845630416035612,17,0,9603.977611940298
3235,8.7,4.0,0,4,1,0,1,2,8.507748732588238,0.4700036292457356,0.3837271528084705,17,0,9603.977611940298
10881,9.3,4.0,1,4,1,0,1,2,6.594413459749778,0.37156355643248307,1.2906754713165276,17,0,9603.977611940298
2008,8.4,4.0,1,4,1,0,1,2,7.81035268372429,0.9555114450274363,0.2381836546644231,17,0,9603.977611940298
3647,8.3,5.0,1,4,1,0,1,2,7.5822291942764615,0.37156355643248307,0.4325975042635214,17,0,9603.977611940298
3292,9.0,4.0,0,4,1,0,1,2,6.86484777797086,0.8754687373538999,0.3904883422088052,17,0,9603.977611940298
2096,8.5,3.0,1,4,1,0,1,2,8.962263554116761,0.8754687373538999,0.24862198215967668,17,0,9603.977611940298
2363,8.7,4.0,1,4,1,0,1,2,7.157735484249907,1.3862943611198906,0.2802928167191393,17,0,9603.977611940298
3369,9.1,4.0,0,4,1,0,1,2,8.522180732927277,0.832909122935104,0.39962187876715205,17,0,9603.977611940298
1998,9.4,4.0,1,4,1,0,1,2,9.780076207620894,1.8870696490323797,0.236997481085417,17,0,9603.977611940298
5650,8.7,4.0,0,4,1,0,1,2,8.65591111072806,0.6931471805599453,0.6701880721384414,17,0,9603.977611940298
4071,8.6,5.0,1,4,1,0,1,2,9.546598299920646,0.5877866649021191,0.4828912640133797,17,0,9603.977611940298
3950,8.7,3.0,0,4,1,0,1,2,8.507950610049305,0.6931471805599453,0.468538563707406,17,0,9603.977611940298
2197,8.3,3.0,0,4,1,0,1,2,8.702842538302868,0.4700036292457356,0.2606023353076382,17,0,9603.977611940298
2389,7.6,3.0,1,4,1,0,1,2,8.834482608620677,0.9555114450274363,0.28337686802455514,17,0,9603.977611940298
1994,8.1,4.0,1,4,1,0,1,2,7.1631723908466425,0.4700036292457356,0.23652301165381456,17,0,9603.977611940298
1845,7.8,4.0,0,4,1,0,1,2,9.18686701579054,1.308332819650179,0.2188490253266238,17,0,9603.977611940298
2914,8.9,5.0,0,4,1,0,1,2,9.373733918884618,0.7419373447293773,0.34565098092237495,17,0,9603.977611940298
3151,9.7,5.0,0,4,1,0,1,2,7.7437032581737535,0.7884573603642702,0.3737632947448193,17,0,9603.977611940298
3458,8.1,3.0,0,4,1,0,1,2,8.520786726926367,0.5306282510621704,0.4101788236203063,17,0,9603.977611940298
2133,8.6,4.0,1,4,1,0,1,2,9.29302573859479,0.4700036292457356,0.25301082440199923,17,0,9603.977611940298
2145,8.4,3.0,1,4,1,0,1,2,9.253112463820052,2.0918640616783932,0.25443423269680654,17,0,9603.977611940298
4704,9.2,4.0,0,4,1,0,1,2,8.038834757787749,0.4700036292457356,0.5579760515644653,17,0,9603.977611940298
2399,9.0,3.0,0,4,1,0,1,2,8.283241441385425,0.832909122935104,0.2845630416035612,17,0,9603.977611940298
3235,8.7,4.0,0,4,1,0,1,2,8.507748732588238,0.4700036292457356,0.3837271528084705,17,0,9603.977611940298
10881,9.3,4.0,1,4,1,0,1,2,6.594413459749778,0.37156355643248307,1.2906754713165276,17,0,9603.977611940298
2008,8.4,4.0,1,4,1,0,1,2,7.81035268372429,0.9555114450274363,0.2381836546644231,17,0,9603.977611940298
3647,8.3,5.0,1,4,1,0,1,2,7.5822291942764615,0.37156355643248307,0.4325975042635214,17,0,9603.977611940298
3292,9.0,4.0,0,4,1,0,1,2,6.86484777797086,0.8754687373538999,0.3904883422088052,17,0,9603.977611940298
2096,8.5,3.0,1,4,1,0,1,2,8.962263554116761,0.8754687373538999,0.24862198215967668,17,0,9603.977611940298
2315,8.7,4.0,1,4,1,0,1,2,7.157735484249907,1.3862943611198906,0.2745991835399101,17,0,9603.977611940298
3369,9.1,4.0,0,4,1,0,1,2,8.522180732927277,0.832909122935104,0.39962187876715205,17,0,9603.977611940298
1998,9.4,4.0,1,4,1,0,1,2,9.780076207620894,1.8870696490323797,0.236997481085417,17,0,9603.977611940298
5650,8.7,4.0,0,4,1,0,1,2,8.65591111072806,0.6931471805599453,0.6701880721384414,17,0,9603.977611940298
4071,8.6,5.0,1,4,1,0,1,2,9.546598299920646,0.5877866649021191,0.4828912640133797,17,0,9603.977611940298
3950,8.7,3.0,0,4,1,0,1,2,8.507950610049305,0.6931471805599453,0.468538563707406,17,0,9603.977611940298
2197,8.3,3.0,0,4,1,0,1,2,8.702842538302868,0.4700036292457356,0.2606023353076382,17,0,9603.977611940298
2389,7.6,3.0,1,4,1,0,1,2,8.834482608620677,0.9555114450274363,0.28337686802455514,17,0,9603.977611940298
1994,8.1,4.0,1,4,1,0,1,2,7.1631723908466425,0.4700036292457356,0.23652301165381456,17,0,9603.977611940298
1845,7.8,4.0,0,4,1,0,1,2,9.18686701579054,1.308332819650179,0.2188490253266238,17,0,9603.977611940298
2914,8.9,5.0,0,4,1,0,1,2,9.373733918884618,0.7419373447293773,0.34565098092237495,17,0,9603.977611940298
3151,9.7,5.0,0,4,1,0,1,2,7.7437032581737535,0.7884573603642702,0.3737632947448193,17,0,9603.977611940298
3458,8.1,3.0,0,4,1,0,1,2,8.520786726926367,0.5306282510621704,0.4101788236203063,17,0,9603.977611940298
2133,8.6,4.0,1,4,1,0,1,2,9.29302573859479,0.4700036292457356,0.25301082440199923,17,0,9603.977611940298
2145,8.4,3.0,1,4,1,0,1,2,9.253112463820052,2.0918640616783932,0.25443423269680654,17,0,9603.977611940298
4704,9.2,4.0,0,4,1,0,1,2,8.038834757787749,0.4700036292457356,0.5579760515644653,17,0,9603.977611940298
2399,9.0,3.0,0,4,1,0,1,2,8.283241441385425,0.832909122935104,0.2845630416035612,17,0,9603.977611940298
3235,8.7,4.0,0,4,1,0,1,2,8.507748732588238,0.4700036292457356,0.3837271528084705,17,0,9603.977611940298
10881,9.3,4.0,1,4,1,0,1,2,6.594413459749778,0.37156355643248307,1.2906754713165276,17,0,9603.977611940298
2008,8.4,4.0,1,4,1,0,1,2,7.81035268372429,0.9555114450274363,0.2381836546644231,17,0,9603.977611940298
3647,8.3,5.0,1,4,1,0,1,2,7.5822291942764615,0.37156355643248307,0.4325975042635214,17,0,9603.977611940298
3292,9.0,4.0,0,4,1,0,1,2,6.86484777797086,0.8754687373538999,0.3904883422088052,17,0,9603.977611940298
2096,8.5,3.0,1,4,1,0,1,2,8.962263554116761,0.8754687373538999,0.24862198215967668,17,0,9603.977611940298
2315,8.7,4.0,1,4,1,0,1,2,7.157735484249907,1.3862943611198906,0.2745991835399101,17,0,9603.977611940298
